City,IATA,Latitude,Longitude
Atlanta,ATL,33.636719,-84.428067
Austin,AUS,30.194528,-97.669889
Bismarck,BIS,46.775842,-100.757931
Bozeman,BZN,45.777643,-111.160151
Cedar Rapids,CID,41.884694,-91.710806
Charlotte,CLT,35.214,-80.943139
Chicago,ORD,41.978603,-87.904842
Cincinnati,CVG,39.048836,-84.667822
Cleveland,CLE,41.411689,-81.849794
Colorado Springs,COS,38.805805,-104.700778
Columbus,CMH,39.997972,-82.891889
Dallas-Fort Worth,DFW,32.896828,-97.037997
Denver,DEN,39.861656,-104.673178
Des Moines,DSM,41.533972,-93.663083
Detroit,DTW,42.212444,-83.353389
Fort Lauderdale,FLL,26.072583,-80.15275
Fort Myers,RSW,26.536167,-81.755167
Greensboro,GSO,36.09775,-79.937306
Houston,IAH,29.984433,-95.341442
Indianapolis,IND,39.717331,-86.294383
Kansas City,MCI,39.297606,-94.713905
Knoxville,TYS,35.810972,-83.994028
Las Vegas,LAS,36.080056,-115.15225
Los Angeles,LAX,33.942536,-118.408075
Madison,MSN,43.139858,-89.337514
Memphis,MEM,35.042417,-89.976667
Miami,MIA,25.79325,-80.290556
Milwaukee,MKE,42.947222,-87.896583
Minneapolis,MSP,44.881956,-93.221767
Missoula,MSO,46.916306,-114.090556
Nashville,BNA,36.124472,-86.678194
New Orleans,MSY,29.993389,-90.258028
New York,LGA,40.777245,-73.872608
Omaha,OMA,41.303167,-95.894069
Orlando,MCO,28.429394,-81.308994
Philadelphia,PHL,39.871944,-75.241139
Phoenix,PHX,33.434278,-112.011583
Pittsburgh,PIT,40.491467,-80.232872
Portland,PDX,45.588722,-122.5975
Raleigh-durham,RDU,35.877639,-78.787472
St. Augustine Airport,UST,29.959167,-81.339722
St. Louis,STL,38.748697,-90.370028
Salt Lake City,SLC,40.788389,-111.977772
San Antonio,SAT,29.533694,-98.469778
San Diego,SAN,32.733556,-117.189667
San Francisco,SFO,37.618972,-122.374889
Santa Ana,SNA,33.675667,-117.868222
Seattle,SEA,47.449,-122.309306
Sioux Falls,FSD,43.582014,-96.741914
Tampa,TPA,27.975472,-82.53325
Trenton,TTN,40.276692,-74.813469
Washington,DCA,38.852083,-77.037722
Washington,IAD,38.944533,-77.455811
West Palm Beach,PBI,26.683161,-80.095589
